               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.017708,            0.007686,           0.0016015,             0.97071,                 0.9,             0.95893,             0.71453,           0.0061012,           0.0031755,          0.00092773,            0.008086,            0.008086,            0.008086
                  60,            0.017253,            0.007866,           0.0016761,             0.88478,              0.9829,             0.96927,              0.7381,           0.0056145,           0.0030748,          0.00091089,            0.008053,            0.008053,            0.008053
                  61,            0.017953,           0.0075595,           0.0016298,             0.95488,             0.89666,             0.93045,             0.70633,           0.0054026,           0.0031468,          0.00090895,             0.00802,             0.00802,             0.00802
                  62,            0.017259,           0.0073674,           0.0014493,             0.95925,                 0.9,             0.94306,              0.7694,           0.0071027,           0.0034218,          0.00091527,            0.007987,            0.007987,            0.007987
                  63,            0.016382,           0.0070203,           0.0019036,             0.95798,                 0.9,             0.94665,             0.80544,           0.0043249,           0.0030162,          0.00088304,            0.007954,            0.007954,            0.007954
                  64,            0.016447,            0.006729,           0.0012972,             0.95281,             0.89195,             0.95359,              0.8251,           0.0032854,           0.0030772,          0.00088094,            0.007921,            0.007921,            0.007921
                  65,            0.016323,           0.0074203,           0.0036465,             0.97328,                 0.9,             0.97443,             0.80851,           0.0040645,           0.0028383,          0.00099881,            0.007888,            0.007888,            0.007888
                  66,            0.017714,           0.0073764,           0.0015484,             0.97518,                 0.9,             0.97693,             0.81226,           0.0045925,           0.0027429,           0.0010475,            0.007855,            0.007855,            0.007855
                  67,            0.017084,           0.0070834,           0.0017994,              0.9751,                 0.9,             0.96596,             0.84415,           0.0041779,           0.0027135,          0.00084858,            0.007822,            0.007822,            0.007822
                  68,            0.016277,           0.0072982,           0.0014896,             0.88785,             0.99111,             0.97833,             0.72724,           0.0051582,            0.003133,          0.00058454,            0.007789,            0.007789,            0.007789
                  69,            0.017016,           0.0073933,           0.0018184,             0.88665,             0.99281,             0.97786,             0.89902,           0.0036313,            0.002826,          0.00063222,            0.007756,            0.007756,            0.007756
                  70,            0.014446,           0.0068759,           0.0010988,             0.87791,             0.89866,             0.94643,             0.88305,           0.0050268,           0.0032515,          0.00052236,            0.007723,            0.007723,            0.007723
                  71,            0.015575,           0.0073598,           0.0011896,             0.81187,             0.93321,             0.93786,             0.78475,           0.0047734,           0.0036951,          0.00072028,             0.00769,             0.00769,             0.00769
